,ETHZ,FESOM,NorESM,MRI,IPSL
0,0.3195254227820034,0.35783758198081583,0.32699186364666355,0.30115649289461977,0.3880275095017843
1,0.4713040400279805,0.5144059285103393,0.47598730225455427,0.4493420465198285,0.5639567581157676
2,0.6788961976505635,0.7184173014755781,0.6724081307451406,0.6553673969955135,0.7890031633685207
3,0.9362728779188986,0.9583287798452996,0.9069866065970693,0.9042167821949892,1.0482690989811314
4,1.2233924056734182,1.2158052338782106,1.161406574048147,1.175583811680724,1.3209822505278612
5,1.5244716992519949,1.4770835763960775,1.4218312239312951,1.4589021707256762,1.5979452133924283
6,1.8616807381874496,1.752292668150254,1.6988827059520948,1.7551686498462293,1.894561144187073
7,2.2220263566153644,2.061642798733333,2.0033551783701102,2.0818496526961487,2.2237128128179813
8,2.589216843768192,2.4101416567905103,2.430732186003119,2.547497619854971,2.639126539851839
9,2.9945362056122167,2.8002845342950584,2.9100652421050843,3.068934767457301,3.1096215204727677
