,ETHZ,FESOM,MRI,NorESM,IPSL
0,0.5924973486465563,0.6691824119342494,0.5905400856018252,0.6754664577507522,0.6502541177707767
1,0.7930309833906062,0.8811743620784869,0.7941270415753374,0.8866159566884744,0.857532327655188
2,1.0118286808094112,1.1025830274201662,1.014476209226224,1.103564971240013,1.0778269502143407
3,1.2421456644154092,1.32202904700665,1.240349822629369,1.3193484469631618,1.3025665879131032
4,1.47430483443376,1.5470255960507604,1.4711830451800183,1.5382776506438878,1.5286402203871559
5,1.7110699817283275,1.7915995114796996,1.7175770038131781,1.7753831758243368,1.7703017260859724
6,1.970786623534515,2.0629170902146785,1.9902139559005447,2.040490563690087,2.03857758783657
7,2.2643466064139663,2.3667056728009475,2.2959838395798426,2.338649004496424,2.3374038929663077
8,2.5966052085498457,2.709138499861021,2.639923070917669,2.6748081072877388,2.6708511493606273
9,2.973403164136819,3.094255202056665,3.024166310627705,3.052914172119863,3.0421646605508186
