SOCAT90s,SOCAT2000s,SOCAT2010s,SOCAT201819,SOCAT202022
2.63685174784335,2.9390801729925737,2.9795257839403053,3.0113634217694925,2.993422674463509
2.3406398933402084,2.728606138216594,2.7824456095849452,2.810701267958822,2.814331559724378
2.399627943583094,2.8210882400388657,2.905748928077955,2.944418392236723,2.91986334041247
2.8787003789689924,3.3093617840148797,3.254859328051709,3.2808177069695956,3.43172761085871
3.5354021615672684,3.9242722540984687,3.7590748866719954,3.6720595264806475,3.918568956770148
4.129138975882991,4.423960425380299,4.136040185674997,3.9947296467937132,4.376290436030337
4.494053962351026,4.898578174723515,4.301508509492067,4.399043322267215,4.850400440455153
4.728120760863327,5.182832965271226,4.795208690060739,5.05994099990654,5.138802580903255
4.872943837529894,5.358546176410135,5.250095633691963,5.351929543587758,5.271427788761999
5.136540633462107,5.502769423730817,5.359270220780193,5.452222465409518,5.358569226620807
